ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"192.154.244.92","elite","AS64200","US","Vivid-hosting LLC","189","Vivid-hosting LLC","9000","socks4","5029","1","2024-01-29T01:32:22.440Z","100","5878","5889"
"103.25.209.50","elite","AS132653","ID","B-LINK","199","N/A","10101","socks4","5100","1","2024-01-29T01:32:22.441Z","98","5828","5925"
"202.154.178.243","elite","AS9341","ID","PT Indonesia Comnets Plus","162","Jakarta1 Iconpln","5678","socks4","4097","1","2024-01-29T01:32:19.328Z","96","5725","5939"
"172.93.213.177","elite","AS11721","US","Nexeon Technologies","101","StylenHost LTD","80","http","216","7004","2024-01-29T01:32:19.332Z","100","1","1"
"128.199.238.188","elite","AS14061","SG","DigitalOcean, LLC","194","DigitalOcean, LLC","8080","socks4","5092","1","2024-01-29T01:32:19.240Z","41","2447","5915"
"38.127.179.34","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","785","1","2024-01-29T01:32:19.344Z","100","5825","5841"
"103.132.124.18","elite","AS138124","ID","Universitas Samudra","166","Universitas Samudra","5678","socks4","1400","1","2024-01-29T01:32:19.343Z","97","5736","5914"
"177.190.192.57","elite","AS262731","BR","Ctinet Solucoes EM Conectividade E Informatica LTD","196","Ctinet Solucoes EM Conectividade E Informatica LTD","61221","socks4","4996","1","2024-01-29T01:32:16.344Z","97","5668","5855"
"172.67.181.103","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5196","1","2024-01-29T01:32:16.430Z","100","5814","5816"
"200.140.83.108","elite","AS8167","BR","V tal","251","V tal","6588","socks5","1415","1","2024-01-29T01:32:16.429Z","99","5757","5807"
"182.253.159.142","elite","AS17451","ID","BIZNET","191","N/A","1080","socks4","4192","1","2024-01-29T01:32:16.343Z","97","5657","5846"
"79.143.190.221","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","12580","socks5","2195","85","2024-01-29T01:32:16.444Z","100","5852","5852"
"104.19.225.70","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","3991","1","2024-01-29T01:32:13.333Z","100","5821","5824"
"167.71.171.26","elite","AS14061","US","DigitalOcean, LLC","92","DigitalOcean, LLC","44550","socks5","4812","81","2024-01-29T01:32:13.339Z","12","690","5834"
"190.214.50.158","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","184","Comite De LA Unidad De Hemodialisis De LA Provinci","55617","socks5","4813","81","2024-01-29T01:32:13.432Z","98","5673","5789"
"94.198.213.252","elite","AS49979","IT","La Wireless","30","N/A","49979","socks5","1817","81","2024-01-29T01:32:13.433Z","100","5886","5907"
"85.143.254.20","elite","AS56534","RU","Comfortel Ltd.","41","Comfortel Ltd","8080","socks4","242","1","2024-01-29T01:32:13.332Z","100","5877","5895"
"185.162.229.112","elite","AS209242","GB","Cloudflare London, LLC","11","Softconstruct Limited","80","socks4","2795","1","2024-01-29T01:32:13.337Z","100","5879","5880"
"129.226.90.16","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","316","Aceville Pte.ltd","443","socks4","3289","1","2024-01-29T01:32:13.335Z","68","4017","5887"
"45.226.0.2","elite","AS266987","BR","Web - Link Telecomunicações e Engenharia","297","Web - Link Telecomunicações e Engenharia","4153","socks4","888","1","2024-01-29T01:32:13.340Z","99","5864","5897"
"177.38.5.137","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","199","FÁBIO MENDES DIAS LTDA ME","4153","socks4","2802","1","2024-01-29T01:32:09.430Z","95","5563","5836"
"81.69.243.126","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","180","Tencent Cloud Computing (Beijing) Co., Ltd","1080","socks4","5283","1","2024-01-29T01:32:09.432Z","89","5215","5886"
"46.219.1.5","elite","AS31148","UA","o3 core","46","N/A","5678","socks4","4889","1","2024-01-29T01:32:09.431Z","100","5791","5820"
"114.99.13.48","elite","AS4134","CN","Chinanet","192","Chinanet AH","8004","socks4","5091","1","2024-01-29T01:32:09.428Z","62","3669","5885"
"103.66.233.173","elite","AS134014","IN","NET 4 U SERVICES","134","N/A","4145","socks4","840","1","2024-01-29T01:32:09.433Z","99","5924","5958"
"104.23.126.8","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4210","1","2024-01-29T01:32:06.133Z","100","5889","5889"
"43.153.174.137","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","290","Tencent Cloud Computing","443","socks5","1008","1","2024-01-29T01:32:06.228Z","98","5652","5740"
"103.122.84.27","elite","AS136315","IN","Wizone Tech Solutions Pvt Ltd","174","Wizone Tech Solutions Pvt Ltd","5678","socks4","5095","1","2024-01-29T01:32:06.328Z","67","3986","5957"
"170.106.155.14","elite","AS132203","US","Tencent Cloud Computing (Beijing) Co","151","N/A","1080","socks4","4514","1","2024-01-29T01:32:06.137Z","19","1124","5818"
"185.170.233.103","elite","AS206912","CY","Superdach LTD","62","Infra","47574","socks4","4095","1","2024-01-29T01:32:06.134Z","100","5874","5884"
"46.227.36.1","elite","AS51155","PL","Telemedian - TB Telecom","40","Telemedian","1088","socks4","4301","1","2024-01-29T01:32:02.740Z","100","5741","5758"
